"","state","week","year","cases","date","lon","lat"
"274","Alabama",44,1943,3,1943-10-30,-86.8283850275618,32.7888808009156
"275","Alabama",45,1943,0,1943-11-06,-86.8283850275618,32.7888808009156
"276","Alabama",46,1943,0,1943-11-13,-86.8283850275618,32.7888808009156
"277","Alabama",47,1943,3,1943-11-20,-86.8283850275618,32.7888808009156
"278","Alabama",48,1943,0,1943-11-27,-86.8283850275618,32.7888808009156
"279","Alabama",49,1943,1,1943-12-04,-86.8283850275618,32.7888808009156
"280","Alabama",50,1943,0,1943-12-11,-86.8283850275618,32.7888808009156
"281","Alabama",51,1943,0,1943-12-18,-86.8283850275618,32.7888808009156
"282","Alabama",52,1943,0,1943-12-25,-86.8283850275618,32.7888808009156
"283","Alabama",1,1944,0,1944-01-01,-86.8283850275618,32.7888808009156
"284","Alabama",2,1944,0,1944-01-08,-86.8283850275618,32.7888808009156
"285","Alabama",3,1944,0,1944-01-15,-86.8283850275618,32.7888808009156
"286","Alabama",4,1944,0,1944-01-22,-86.8283850275618,32.7888808009156
"287","Alabama",5,1944,0,1944-01-29,-86.8283850275618,32.7888808009156
"288","Alabama",6,1944,0,1944-02-05,-86.8283850275618,32.7888808009156
"289","Alabama",7,1944,0,1944-02-12,-86.8283850275618,32.7888808009156
"290","Alabama",8,1944,0,1944-02-19,-86.8283850275618,32.7888808009156
"291","Alabama",9,1944,1,1944-02-26,-86.8283850275618,32.7888808009156
"292","Alabama",10,1944,0,1944-03-04,-86.8283850275618,32.7888808009156
"293","Alabama",11,1944,1,1944-03-11,-86.8283850275618,32.7888808009156
"294","Alabama",12,1944,0,1944-03-18,-86.8283850275618,32.7888808009156
"295","Alabama",13,1944,0,1944-03-25,-86.8283850275618,32.7888808009156
"296","Alabama",14,1944,0,1944-04-01,-86.8283850275618,32.7888808009156
"297","Alabama",15,1944,0,1944-04-08,-86.8283850275618,32.7888808009156
"298","Alabama",16,1944,1,1944-04-15,-86.8283850275618,32.7888808009156
"299","Alabama",17,1944,1,1944-04-22,-86.8283850275618,32.7888808009156
"300","Alabama",18,1944,0,1944-04-29,-86.8283850275618,32.7888808009156
"301","Alabama",19,1944,0,1944-05-06,-86.8283850275618,32.7888808009156
"302","Alabama",20,1944,1,1944-05-13,-86.8283850275618,32.7888808009156
"303","Alabama",21,1944,1,1944-05-20,-86.8283850275618,32.7888808009156
"304","Alabama",22,1944,2,1944-05-27,-86.8283850275618,32.7888808009156
"305","Alabama",23,1944,2,1944-06-03,-86.8283850275618,32.7888808009156
"306","Alabama",24,1944,0,1944-06-10,-86.8283850275618,32.7888808009156
"307","Alabama",25,1944,4,1944-06-17,-86.8283850275618,32.7888808009156
"308","Alabama",26,1944,3,1944-06-24,-86.8283850275618,32.7888808009156
"309","Alabama",27,1944,3,1944-07-01,-86.8283850275618,32.7888808009156
"310","Alabama",28,1944,6,1944-07-08,-86.8283850275618,32.7888808009156
"311","Alabama",29,1944,8,1944-07-15,-86.8283850275618,32.7888808009156
"312","Alabama",30,1944,7,1944-07-22,-86.8283850275618,32.7888808009156
"313","Alabama",31,1944,13,1944-07-29,-86.8283850275618,32.7888808009156
"314","Alabama",32,1944,5,1944-08-05,-86.8283850275618,32.7888808009156
"315","Alabama",33,1944,9,1944-08-12,-86.8283850275618,32.7888808009156
"316","Alabama",34,1944,9,1944-08-19,-86.8283850275618,32.7888808009156
"317","Alabama",35,1944,8,1944-08-26,-86.8283850275618,32.7888808009156
"318","Alabama",36,1944,2,1944-09-02,-86.8283850275618,32.7888808009156
"319","Alabama",37,1944,6,1944-09-09,-86.8283850275618,32.7888808009156
"320","Alabama",38,1944,5,1944-09-16,-86.8283850275618,32.7888808009156
"321","Alabama",39,1944,1,1944-09-23,-86.8283850275618,32.7888808009156
"322","Alabama",40,1944,0,1944-09-30,-86.8283850275618,32.7888808009156
"323","Alabama",41,1944,3,1944-10-07,-86.8283850275618,32.7888808009156
"324","Alabama",42,1944,0,1944-10-14,-86.8283850275618,32.7888808009156
"325","Alabama",43,1944,0,1944-10-21,-86.8283850275618,32.7888808009156
"326","Alabama",44,1944,4,1944-10-28,-86.8283850275618,32.7888808009156
"327","Alabama",45,1944,0,1944-11-04,-86.8283850275618,32.7888808009156
"328","Alabama",46,1944,3,1944-11-11,-86.8283850275618,32.7888808009156
"329","Alabama",47,1944,2,1944-11-18,-86.8283850275618,32.7888808009156
"330","Alabama",48,1944,0,1944-11-25,-86.8283850275618,32.7888808009156
"331","Alabama",49,1944,1,1944-12-02,-86.8283850275618,32.7888808009156
"332","Alabama",50,1944,1,1944-12-09,-86.8283850275618,32.7888808009156
"333","Alabama",51,1944,0,1944-12-16,-86.8283850275618,32.7888808009156
"334","Alabama",52,1944,0,1944-12-23,-86.8283850275618,32.7888808009156
"335","Alabama",53,1944,1,1944-12-30,-86.8283850275618,32.7888808009156
"336","Alabama",1,1945,0,1945-01-06,-86.8283850275618,32.7888808009156
"337","Alabama",2,1945,1,1945-01-13,-86.8283850275618,32.7888808009156
"338","Alabama",3,1945,1,1945-01-20,-86.8283850275618,32.7888808009156
"339","Alabama",4,1945,0,1945-01-27,-86.8283850275618,32.7888808009156
"340","Alabama",5,1945,0,1945-02-03,-86.8283850275618,32.7888808009156
"341","Alabama",6,1945,1,1945-02-10,-86.8283850275618,32.7888808009156
"342","Alabama",7,1945,4,1945-02-17,-86.8283850275618,32.7888808009156
"343","Alabama",8,1945,2,1945-02-24,-86.8283850275618,32.7888808009156
"344","Alabama",9,1945,0,1945-03-03,-86.8283850275618,32.7888808009156
"345","Alabama",10,1945,0,1945-03-10,-86.8283850275618,32.7888808009156
"346","Alabama",11,1945,0,1945-03-17,-86.8283850275618,32.7888808009156
"347","Alabama",12,1945,1,1945-03-24,-86.8283850275618,32.7888808009156
"348","Alabama",13,1945,2,1945-03-31,-86.8283850275618,32.7888808009156
"349","Alabama",14,1945,7,1945-04-07,-86.8283850275618,32.7888808009156
"350","Alabama",15,1945,9,1945-04-14,-86.8283850275618,32.7888808009156
"351","Alabama",16,1945,2,1945-04-21,-86.8283850275618,32.7888808009156
"352","Alabama",17,1945,0,1945-04-28,-86.8283850275618,32.7888808009156
"353","Alabama",16,1952,NA,1952-04-19,-86.8283850275618,32.7888808009156
"354","Alabama",17,1952,1,1952-04-26,-86.8283850275618,32.7888808009156
"355","Alabama",18,1952,NA,1952-05-03,-86.8283850275618,32.7888808009156
"356","Alabama",19,1952,1,1952-05-10,-86.8283850275618,32.7888808009156
